行号,原文摘录,类别,H/C/?,来源声称,验证结果,证据
19,"\documentclass[12pt,a4paper]{article}",classification,?,,
86,"uncertainty.} The 35.3\% attributed to the size-and-surface",causal,?,,
224,"correction formulas, risk classification by failure consequence,",classification,?,,
289,"so that the two S--N curves yield similar run-out thresholds despite",threshold,?,,
297,"Four classical methods convert a mean-stress-affected stress to an",classification,?,,
366,"fillet. Because $Y_{Sa}$ already accounts for the geometric stress",causal,?,,
420,"factors ($K_A > 1$, $K_V > 1$, $K_{F\beta} > 1$) would alter the",threshold,?,,
425,"\S\ref{sec:torque}---could modify the variance shares attributed to",causal,?,,
439,"\item Apply damage rule threshold (Switch~3)",threshold,?,,
452,"engine, chosen because $\log_{10}(N_f)$ is the natural scale for",causal,?,,
468,"Sobol' estimators are undefined because the response variable",causal,?,,
481,"than being discarded. The variance fraction attributed to factor",causal,?,,
526,"\mathrm{S/N}_j = \bar{\theta}_j \,/\, \sigma_{\rm boot,\,j}",threshold,?,,
531,"of the bootstrap distribution, $\mathrm{S/N} > 1.96$ corresponds to",threshold,?,,
531,"of the bootstrap distribution, $\mathrm{S/N} > 1.96$ corresponds to",threshold,?,,
533,"$\mathrm{S/N} = 3$ as a conservative reporting threshold",threshold,?,,
533,"$\mathrm{S/N} = 3$ as a conservative reporting threshold",threshold,?,,
565,"Factor & $\Delta$logLik & Var.\% & S/N \\",threshold,?,,
584,"dominant contribution: mean-stress correction (39.1\%, S/N~$\approx$~25),",threshold,?,,
585,"size-and-surface standard (35.3\%, S/N~$\approx$~25), and surface roughness",threshold,?,,
586,"(23.5\%, S/N~$\approx$~22). Together they account for 97.9\% of total",threshold,?,,
591,"The S--N curve source ($-$0.7\%, S/N~$\approx$~6) and the",threshold,?,,
592,"Standard~$\times$~$R_z$ interaction (2.5\%, S/N~$\approx$~3) are secondary but",threshold,?,,
594,"S/N~$\approx$~2) is negligible in the constant-amplitude regime. The",threshold,?,,
595,"AFT scale parameter $\sigma = 0.208$ indicates that the model",causal,?,,
634,"contrast, while the remaining 27~pp reflects genuine divergence",causal,?,,
637,"because industrial practice---particularly in conservative design",causal,?,,
696,"reference. The Standard~$\times$~$R_z$ interaction (2.5\%) reflects the",causal,?,,
718,"so they produce similar run-out thresholds and contribute negligibly",threshold,?,,
733,"threshold-based or nonlinear rules become operative through sequence",threshold,?,,
755,"correction rises to dominance because the $\sigma_m/\sigma_{\rm uts}$",causal,?,,
761,"fatigue strength threshold. A quantitative multi-torque AFT",threshold,?,,
772,"calculated to survive beyond the fatigue strength threshold at",threshold,?,,
801,"S/N~$\approx$~14) and size-and-surface standard (bootstrap mean",threshold,?,,
802,"35.0\%, CI [30.8, 39.9], S/N~$\approx$~15) are clearly the leading",threshold,?,,
804,"23.2\%, CI [18.7, 27.4], S/N~$\approx$~10). The S--N curve source",threshold,?,,
